transaction_id,tenant_id,product_id,quantity_sold,unit_price,total_price,original_currency,converted_amount,converted_currency,exchange_rate,conversion_source,conversion_timestamp,sale_source,transaction_date,created_at
t1-uuid,tenant-alpha-123,p1-uuid,2,18.00,36.00,JOD,36.00,JOD,1.00000000,LOCAL,2026-07-27T10:00:00Z,POS,2026-07-27T10:00:00Z,2026-07-27T10:00:05Z
t2-uuid,tenant-alpha-123,p2-uuid,1,22.50,22.50,JOD,22.50,JOD,1.00000000,LOCAL,2026-07-27T11:15:00Z,QuickSale,2026-07-27T11:15:00Z,2026-07-27T11:15:05Z
t3-uuid,tenant-alpha-123,p3-uuid,3,16.75,50.25,JOD,50.25,JOD,1.00000000,LOCAL,2026-07-27T12:30:00Z,POS,2026-07-27T12:30:00Z,2026-07-27T12:30:05Z
t4-uuid,tenant-alpha-123,p4-uuid,2,11.50,23.00,JOD,23.00,JOD,1.00000000,LOCAL,2026-07-27T14:10:00Z,E_COMMERCE,2026-07-27T14:10:00Z,2026-07-27T14:10:05Z
t5-uuid,tenant-alpha-123,p5-uuid,1,14.25,14.25,JOD,14.25,JOD,1.00000000,LOCAL,2026-07-28T09:20:00Z,POS,2026-07-28T09:20:00Z,2026-07-28T09:20:05Z
t6-uuid,tenant-alpha-123,p6-uuid,4,9.75,39.00,JOD,39.00,JOD,1.00000000,LOCAL,2026-07-28T13:45:00Z,QuickSale,2026-07-28T13:45:00Z,2026-07-28T13:45:05Z
t7-uuid,tenant-alpha-123,p1-uuid,3,18.00,54.00,JOD,54.00,JOD,1.00000000,LOCAL,2026-07-28T16:30:00Z,E_COMMERCE,2026-07-28T16:30:00Z,2026-07-28T16:30:05Z
t8-uuid,tenant-alpha-123,p2-uuid,2,22.50,45.00,JOD,45.00,JOD,1.00000000,LOCAL,2026-07-29T10:15:00Z,POS,2026-07-29T10:15:00Z,2026-07-29T10:15:05Z
t9-uuid,tenant-alpha-123,p3-uuid,1,16.75,16.75,JOD,16.75,JOD,1.00000000,LOCAL,2026-07-29T11:40:00Z,API,2026-07-29T11:40:00Z,2026-07-29T11:40:05Z
t10-uuid,tenant-alpha-123,p1-uuid,5,18.00,90.00,JOD,90.00,JOD,1.00000000,LOCAL,2026-07-29T15:05:00Z,POS,2026-07-29T15:05:00Z,2026-07-29T15:05:05Z
t11-uuid,tenant-alpha-123,p4-uuid,3,11.50,34.50,JOD,34.50,JOD,1.00000000,LOCAL,2026-07-30T09:50:00Z,QuickSale,2026-07-30T09:50:00Z,2026-07-30T09:50:05Z
t12-uuid,tenant-alpha-123,p5-uuid,2,14.25,28.50,JOD,28.50,JOD,1.00000000,LOCAL,2026-07-30T14:25:00Z,E_COMMERCE,2026-07-30T14:25:00Z,2026-07-30T14:25:05Z
t13-uuid,tenant-beta-456,p1-uuid,5,18.00,90.00,JOD,126.15,SAR,1.40166667,DEMO_FX,2026-07-27T09:30:00Z,API,2026-07-27T09:30:00Z,2026-07-27T09:30:05Z
t14-uuid,tenant-beta-456,p2-uuid,3,22.50,67.50,JOD,94.61,SAR,1.40166667,DEMO_FX,2026-07-27T12:10:00Z,POS,2026-07-27T12:10:00Z,2026-07-27T12:10:05Z
t15-uuid,tenant-beta-456,p3-uuid,2,16.75,33.50,JOD,46.94,SAR,1.40119403,DEMO_FX,2026-07-28T10:45:00Z,E_COMMERCE,2026-07-28T10:45:00Z,2026-07-28T10:45:05Z
t16-uuid,tenant-beta-456,p4-uuid,6,11.50,69.00,JOD,96.68,SAR,1.40115942,DEMO_FX,2026-07-28T15:20:00Z,POS,2026-07-28T15:20:00Z,2026-07-28T15:20:05Z
t17-uuid,tenant-beta-456,p5-uuid,2,14.25,28.50,JOD,39.91,SAR,1.40035088,DEMO_FX,2026-07-29T11:30:00Z,QuickSale,2026-07-29T11:30:00Z,2026-07-29T11:30:05Z
t18-uuid,tenant-beta-456,p6-uuid,5,9.75,48.75,JOD,68.26,SAR,1.40020513,DEMO_FX,2026-07-29T16:15:00Z,API,2026-07-29T16:15:00Z,2026-07-29T16:15:05Z
t19-uuid,tenant-beta-456,p1-uuid,4,18.00,72.00,JOD,100.80,SAR,1.40000000,DEMO_FX,2026-07-30T09:05:00Z,POS,2026-07-30T09:05:00Z,2026-07-30T09:05:05Z
t20-uuid,tenant-beta-456,p2-uuid,2,22.50,45.00,JOD,63.00,SAR,1.40000000,DEMO_FX,2026-07-30T13:40:00Z,E_COMMERCE,2026-07-30T13:40:00Z,2026-07-30T13:40:05Z
t21-uuid,tenant-beta-456,p3-uuid,4,16.75,67.00,JOD,93.80,SAR,1.40000000,DEMO_FX,2026-07-31T10:25:00Z,POS,2026-07-31T10:25:00Z,2026-07-31T10:25:05Z
t22-uuid,tenant-beta-456,p4-uuid,3,11.50,34.50,JOD,48.30,SAR,1.40000000,DEMO_FX,2026-07-31T12:50:00Z,QuickSale,2026-07-31T12:50:00Z,2026-07-31T12:50:05Z
t23-uuid,tenant-beta-456,p5-uuid,1,14.25,14.25,JOD,19.95,SAR,1.40000000,DEMO_FX,2026-08-01T14:05:00Z,POS,2026-08-01T14:05:00Z,2026-08-01T14:05:05Z
t24-uuid,tenant-beta-456,p6-uuid,7,9.75,68.25,JOD,95.55,SAR,1.40000000,DEMO_FX,2026-08-01T17:20:00Z,E_COMMERCE,2026-08-01T17:20:00Z,2026-08-01T17:20:05Z
